Player,Nation,Pos,Team,League,Age,Height,Weight,Overall,Potential,TotalStats,BaseStats,BestPosition,ValueEUR,WageEUR,ClubNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Christoph Baumgartner,AUT,MF,Hoffenheim,Bundesliga,19.0,180,71,75,84,1798,380,CAM,10500000,23000,14.0,Right,1,3,3,Medium,Medium,78,63,71,78,40,50,62,67,55,78,57,79,60,52,72,78,79,78,78,74,77,65,58,54,47,52,50,34,71,76,65,73,31,47,47
Christopher Lenz,GER,DF,Union Berlin,Bundesliga,24.0,180,81,70,73,1718,369,LWB,2000000,14000,25.0,Left,1,3,3,Medium,Medium,68,39,62,68,66,66,69,35,49,71,31,66,65,60,59,71,67,69,69,68,72,52,69,70,66,38,61,67,41,41,35,69,67,69,67
Christopher Nkunku,FRA,MF,RB Leipzig,Bundesliga,21.0,179,72,80,86,2118,451,CAM,20500000,50000,18.0,Right,1,3,4,Medium,Medium,78,74,80,85,69,65,81,74,59,82,59,86,81,76,77,84,79,77,85,77,83,79,59,74,63,76,62,69,78,79,65,79,69,72,70
Christopher Trimmel,AUT,DF,Union Berlin,Bundesliga,32.0,189,82,75,75,1945,417,RB,3000000,25000,28.0,Right,1,3,3,High,Medium,69,60,70,67,72,79,85,60,70,68,56,69,72,62,66,68,65,73,62,72,55,64,54,85,80,56,75,70,65,65,59,69,72,75,69
Ciro Immobile,ITA,FW,Lazio,Serie A,29.0,185,85,87,87,2057,438,ST,48500000,125000,17.0,Right,3,4,3,High,Medium,84,88,67,83,39,77,55,93,81,80,85,83,70,51,53,84,82,85,75,90,77,86,77,78,77,80,77,40,93,71,88,86,34,33,32
Clément Lenglet,FRA,DF,Barcelona,La Liga,24.0,186,81,85,89,1930,419,CB,44500000,190000,15.0,Left,2,4,2,Medium,High,74,45,67,65,87,81,55,39,83,78,37,57,59,31,74,76,76,72,61,84,60,58,85,75,83,46,80,87,54,66,49,82,90,86,81
Conor Coady,ENG,DF,Wolves,Premier League,26.0,186,80,79,81,1934,400,CDM,13000000,76000,16.0,Right,1,3,2,Low,High,47,58,75,66,79,75,65,51,74,81,56,62,60,61,85,79,46,48,48,79,54,68,78,78,74,64,74,78,50,73,60,80,83,78,74
Conor Hourihane,IRL,MF,Aston Villa,Premier League,28.0,180,62,75,75,2039,420,CM,6500000,50000,14.0,Left,1,4,3,High,Medium,64,70,76,70,66,74,74,68,57,77,60,65,74,78,74,74,65,64,77,75,76,71,76,88,67,78,75,70,69,76,64,68,60,72,64
Craig Cathcart,NIR,DF,Watford,Premier League,30.0,190,83,74,74,1588,331,CB,4200000,15000,15.0,Right,1,3,2,Medium,High,37,37,56,52,76,73,39,29,77,68,30,47,39,39,64,58,38,36,50,77,50,56,70,63,77,41,75,75,33,52,28,71,77,77,75
Craig Dawson,ENG,DF,Watford,Premier League,29.0,188,77,74,74,1730,376,CB,4600000,15000,4.0,Right,2,2,2,Medium,Medium,59,46,59,61,75,76,65,49,80,65,20,57,45,24,62,67,55,62,62,70,50,57,82,72,77,27,76,75,56,51,66,68,76,73,75
Cristian Ansaldi,ARG,DF,Torino,Serie A,32.0,181,76,78,78,2091,445,RWB,6500000,45000,15.0,Right,2,5,4,High,High,78,64,77,80,76,70,82,57,65,79,68,82,80,47,76,81,78,78,76,79,68,73,69,77,64,69,78,76,71,75,52,81,76,79,79
Cristian Romero,ARG,DF,Genoa,Serie A,21.0,185,79,73,80,1593,338,CB,5000000,29000,17.0,Right,1,2,2,Low,High,62,35,43,48,74,76,31,26,76,55,33,36,35,29,46,57,61,63,63,71,64,51,76,71,74,37,88,76,31,36,40,60,70,75,75
Cristian Tello,ESP,MF,Betis,La Liga,27.0,178,65,78,78,1980,422,LM,10500000,27000,11.0,Right,2,4,4,Medium,Medium,89,71,74,79,48,61,75,69,47,74,75,81,82,77,70,78,88,90,79,73,80,79,71,70,61,69,48,39,76,71,56,71,55,49,42
Cristiano Biraghi,ITA,DF,Inter,Serie A,26.0,185,78,75,75,2030,432,LM,7000000,44000,3.0,Left,1,3,3,Medium,Medium,75,65,74,75,73,70,80,58,65,76,46,75,68,60,76,75,74,76,71,79,72,79,69,76,66,72,74,75,68,69,64,70,75,73,70
Cristiano Ronaldo,POR,FW,Juventus,Serie A,34.0,187,83,92,92,2221,464,ST,46000000,220000,7.0,Right,5,4,5,High,Low,89,93,81,89,35,77,84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,28,32,24
César Azpilicueta,ESP,DF,Chelsea,Premier League,29.0,178,77,84,84,2075,431,RB,24500000,120000,28.0,Right,3,3,2,Medium,Medium,67,55,77,72,84,76,81,46,75,78,51,67,68,58,80,77,68,66,72,86,73,68,79,81,70,60,86,85,62,74,66,78,85,85,85
Daichi Kamada,JPN,MF,Eint Frankfurt,Bundesliga,22.0,180,72,76,80,1878,397,CAM,10000000,23000,15.0,Right,1,4,3,High,Medium,75,70,73,82,36,61,74,71,53,76,60,84,73,68,65,80,83,69,81,72,80,74,68,70,59,65,55,28,75,74,71,80,30,42,34
Dalbert Henrique,BRA,DF,Fiorentina,Serie A,25.0,185,79,73,73,1808,377,CB,1900000,6000,26.0,Right,2,2,2,High,Medium,64,46,57,62,72,76,48,24,76,70,66,60,52,30,60,64,65,64,60,71,58,68,80,70,76,62,80,75,38,48,70,74,66,75,73
Dale Stephens,ENG,MF,Brighton,Premier League,30.0,185,78,75,75,1994,413,CDM,5500000,46000,16.0,Right,1,3,3,Medium,High,56,65,74,69,72,77,70,63,65,79,69,66,66,61,76,74,60,52,64,76,63,67,85,84,70,69,83,77,66,73,44,79,69,76,70
Damián Suárez,URU,DF,Getafe,La Liga,31.0,173,68,80,80,2135,450,RB,9000000,32000,22.0,Right,1,3,3,High,Medium,75,69,74,75,78,79,81,64,71,78,59,74,74,70,72,76,74,76,74,76,75,83,80,79,74,71,89,79,63,62,67,74,78,79,81
Dan Burn,ENG,DF,Brighton,Premier League,27.0,198,87,75,76,1627,357,CB,6500000,46000,33.0,Left,1,3,2,High,Medium,53,33,59,57,75,80,61,25,76,67,22,59,48,46,62,64,47,57,34,72,30,53,54,69,89,29,78,73,37,49,48,68,75,77,73
Dani Carvajal,ESP,DF,Real Madrid,La Liga,27.0,173,73,86,86,2133,454,RB,38000000,230000,2.0,Right,3,3,3,High,High,80,54,78,80,82,80,84,51,72,83,49,78,76,47,74,84,79,80,79,84,81,68,77,89,74,47,84,83,75,74,45,82,83,83,85
Dani García,ESP,MF,Athletic Club,La Liga,29.0,180,80,79,79,2026,426,CDM,11500000,29000,14.0,Right,2,3,3,Low,High,48,69,73,74,79,83,55,69,46,84,52,72,61,57,80,80,51,46,66,81,76,72,64,91,80,73,86,82,73,73,58,77,82,85,80
Dani Rodríguez,ESP,MF,Mallorca,La Liga,31.0,178,72,75,75,1972,432,RM,5000000,10000,14.0,Right,1,3,3,Medium,Medium,87,74,72,73,62,64,70,78,56,75,46,72,64,64,72,76,81,91,66,72,71,69,65,67,64,77,60,61,70,73,70,64,58,68,62
Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,31.0,178,70,75,75,2050,419,RB,4800000,23000,18.0,Right,1,3,3,High,Medium,76,61,71,71,72,68,78,54,66,70,59,71,80,80,64,69,76,76,75,75,74,66,76,77,62,63,72,67,67,65,87,68,76,72,77
Daniel Caligiuri,ITA,MF,Schalke 04,Bundesliga,31.0,182,80,77,77,2114,438,RM,7000000,29000,20.0,Right,2,4,3,Medium,Medium,68,73,76,75,71,75,80,71,63,76,67,75,78,78,70,76,68,68,74,78,67,76,77,82,73,74,72,74,72,75,83,74,71,73,68
Daniel James,WAL,FW,Manchester Utd,Premier League,21.0,170,76,77,83,1908,417,RM,12000000,81000,21.0,Right,1,4,3,High,High,95,70,69,77,43,63,73,68,44,73,58,75,71,54,59,76,96,95,85,76,81,79,53,86,50,69,68,42,74,68,64,70,50,39,34
Daniel Parejo,ESP,MF,Valencia,La Liga,30.0,182,74,85,85,2170,444,CM,33000000,59000,5.0,Right,2,4,3,Medium,Medium,50,83,90,81,71,69,86,83,61,92,72,82,88,93,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69
Daniel Wass,DEN,DF,Valencia,La Liga,30.0,181,74,80,80,2199,462,RB,10500000,38000,18.0,Right,2,3,3,High,Medium,75,77,80,77,77,76,79,75,69,80,71,76,80,84,81,80,74,76,74,80,71,85,67,86,73,79,74,78,75,78,64,75,79,78,77
Danilo Larangeira,BRA,DF,Bologna,Serie A,35.0,185,75,74,74,1546,324,CB,1100000,18000,23.0,Right,2,3,2,Low,Medium,43,39,49,52,80,61,30,24,71,60,22,46,34,30,66,60,45,42,45,70,60,68,74,33,67,48,76,83,25,42,48,75,81,80,75
Danny Ings,ENG,FW,Southampton,Premier League,27.0,178,73,80,80,1916,403,ST,16000000,70000,9.0,Right,1,4,3,High,High,76,81,67,78,32,69,64,85,79,74,74,79,57,36,61,78,78,74,76,82,77,79,79,70,68,78,67,39,83,70,79,76,22,24,27
Darko Brašanac,SRB,MF,Osasuna,La Liga,27.0,178,73,76,76,1992,420,CM,7500000,31000,8.0,Right,1,3,3,Medium,High,58,70,73,73,72,74,64,68,64,80,52,73,60,59,78,78,64,53,60,77,66,80,65,74,71,69,82,70,75,74,70,75,72,75,72
Darko Lazović,SRB,DF,Hellas Verona,Serie A,28.0,181,66,76,76,1965,420,LM,7500000,27000,8.0,Right,1,4,3,Medium,Medium,85,69,72,77,61,56,76,67,54,73,70,78,66,74,68,78,82,88,77,68,74,76,44,82,39,72,67,60,72,68,49,68,62,64,62
Darwin Machís,VEN,FW,Granada,La Liga,26.0,174,74,78,78,1982,422,LM,11000000,29000,11.0,Right,1,4,4,High,Medium,86,77,74,80,38,67,79,76,51,74,57,79,65,73,71,78,88,85,91,68,93,84,81,73,62,79,70,38,75,72,72,71,40,35,24
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27.0,180,78,84,84,2247,466,CB,27500000,105000,27.0,Left,4,4,3,Medium,Medium,77,70,81,79,83,76,80,60,76,85,67,77,77,85,79,83,78,77,76,88,77,82,83,75,76,78,74,84,73,78,79,84,85,83,82
David García,ESP,DF,Osasuna,La Liga,25.0,185,72,76,80,1728,372,CB,9000000,27000,5.0,Right,1,3,2,Medium,Medium,56,37,63,64,76,76,61,35,79,74,37,60,33,38,72,75,55,57,44,72,61,47,78,73,76,25,77,75,51,52,44,67,73,77,78
David Luiz,BRA,DF,Arsenal,Premier League,32.0,189,86,80,80,2062,426,CB,7000000,80000,23.0,Right,4,3,3,Medium,Medium,60,65,74,71,79,77,68,55,80,77,63,68,70,72,80,79,59,61,66,76,56,81,77,68,78,72,85,80,54,71,75,75,77,81,79
David López,ESP,DF,Espanyol,La Liga,29.0,183,81,76,76,1871,398,CB,6500000,9000,15.0,Right,1,3,2,Medium,High,54,60,67,65,77,75,55,53,75,78,56,64,48,46,70,75,54,54,47,72,52,77,73,63,80,60,78,80,59,69,50,69,75,79,75
David McGoldrick,IRL,FW,Sheffield Utd,Premier League,31.0,183,74,74,74,1866,387,CAM,4500000,33000,17.0,Right,1,3,3,Medium,High,65,72,72,77,33,68,63,73,71,78,70,77,68,65,68,78,64,66,73,78,76,72,74,69,71,67,57,25,76,76,78,76,36,27,19
David Silva,ESP,MF,Manchester City,Premier League,33.0,173,67,86,86,2060,421,CAM,22500000,58000,21.0,Left,4,2,4,High,Medium,64,74,88,88,52,55,84,72,53,92,82,86,82,77,84,91,68,61,85,87,87,72,64,70,46,73,56,50,86,91,75,92,58,53,29
Davinson Sánchez,COL,DF,Tottenham,Premier League,23.0,187,79,81,84,1790,403,CB,20000000,79000,6.0,Right,2,2,2,Medium,High,74,45,56,65,82,81,36,40,80,74,28,63,30,27,67,71,68,79,60,78,55,66,75,73,83,44,87,81,34,49,44,75,82,83,86
Davy Klaassen,NED,MF,Werder Bremen,Bundesliga,26.0,179,70,77,78,2062,432,CM,10000000,29000,30.0,Right,2,3,3,High,High,64,77,72,75,69,75,64,75,75,76,81,73,61,44,75,81,67,61,68,78,68,81,67,90,68,76,78,70,78,79,68,80,64,74,65
Davy Pröpper,NED,MF,Brighton,Premier League,27.0,185,79,76,76,2053,424,CM,7500000,53000,24.0,Right,2,3,4,Medium,High,60,70,76,77,66,75,67,62,70,80,72,78,76,73,75,81,62,59,69,77,68,80,68,86,69,78,78,62,69,78,66,83,70,65,60
Dayot Upamecano,FRA,DF,RB Leipzig,Bundesliga,20.0,186,90,79,90,1788,404,CB,20000000,36000,5.0,Right,1,3,2,Medium,Medium,77,40,61,66,79,81,48,39,81,75,21,68,32,28,73,65,69,84,62,70,65,54,88,61,90,34,81,77,45,58,39,69,75,84,77
Declan Rice,ENG,MF,West Ham,Premier League,20.0,185,80,79,86,1815,398,CDM,16500000,31000,41.0,Right,1,3,2,Low,High,65,44,65,69,78,77,39,31,69,79,33,68,55,32,74,76,62,67,53,75,58,64,73,79,76,56,80,78,52,70,30,77,79,81,79
Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,28.0,188,84,77,77,1660,369,CB,7500000,41000,20.0,Right,1,3,2,Medium,High,71,29,52,57,77,83,46,20,80,72,36,53,34,13,61,58,68,73,64,64,62,55,86,74,88,25,80,76,39,32,13,66,72,80,83
Dejan Kulusevski,SWE,FW,Parma,Serie A,19.0,186,75,77,87,1958,434,LM,14500000,54000,44.0,Left,1,4,3,High,Medium,81,69,75,78,56,75,74,70,54,79,44,80,74,47,73,82,82,81,64,80,64,68,57,90,73,76,67,55,73,78,57,78,50,64,58
Denis Suárez,ESP,MF,Celta Vigo,La Liga,25.0,176,69,78,79,2010,423,CAM,12000000,28000,6.0,Right,2,3,3,Medium,Medium,75,72,78,81,61,56,75,71,49,79,68,82,82,70,78,81,75,75,81,82,76,74,58,66,55,73,47,66,78,81,63,75,69,59,49
Dennis Praet,BEL,MF,Leicester City,Premier League,25.0,181,78,76,78,1985,417,CAM,9000000,66000,26.0,Right,2,4,4,High,Medium,67,70,77,78,61,64,74,66,62,81,70,79,75,67,77,79,68,67,74,74,67,73,65,70,60,76,64,61,76,77,56,79,58,63,60
Diego Carlos,BRA,DF,Sevilla,La Liga,26.0,185,86,83,85,1935,419,CB,27000000,39000,20.0,Right,2,4,3,Medium,High,77,47,63,67,82,83,35,32,79,76,34,65,47,71,74,71,78,76,68,82,55,73,82,74,86,57,85,84,52,63,41,75,83,82,81
Diego Llorente,ESP,DF,Real Sociedad,La Liga,25.0,186,76,76,79,1781,390,CB,8500000,74000,14.0,Right,1,3,2,Medium,Medium,71,40,62,67,74,76,55,39,77,75,31,60,30,35,72,76,69,72,69,75,62,45,82,69,76,37,83,82,43,51,53,67,68,72,76
Diego Rico,ESP,DF,Bournemouth,Premier League,26.0,183,76,77,78,2001,423,LB,9000000,15000,21.0,Left,1,2,3,Medium,Medium,73,58,70,71,76,75,75,45,71,72,53,71,74,69,60,72,71,74,66,74,69,77,74,78,75,70,70,80,64,70,43,65,74,78,77
Diogo Jota,POR,FW,Wolves,Premier League,22.0,178,73,80,86,2073,445,CAM,20500000,90000,20.0,Right,2,5,4,High,High,83,77,71,84,53,77,68,77,52,72,75,84,76,58,68,84,88,79,87,82,86,82,66,79,73,74,85,54,82,74,63,84,53,54,44
Divock Origi,BEL,FW,Liverpool,Premier League,24.0,188,75,77,82,1862,403,ST,12000000,79000,27.0,Right,2,4,4,High,Medium,82,76,67,77,27,74,69,77,75,74,70,78,54,40,59,78,78,85,71,77,66,81,76,70,77,70,69,28,78,69,65,77,16,24,18
Djibril Sow,SUI,MF,Eint Frankfurt,Bundesliga,22.0,184,76,74,81,2026,434,CM,8000000,21000,8.0,Right,1,4,3,Medium,High,74,67,73,74,71,75,71,65,62,76,69,73,67,64,74,75,75,74,74,74,75,70,71,80,75,69,68,72,70,71,58,72,73,72,67
Domenico Berardi,ITA,FW,Sassuolo,Serie A,24.0,183,72,80,81,1996,423,CAM,17500000,39000,25.0,Left,2,3,4,Medium,Medium,78,80,79,82,36,68,75,79,62,82,78,81,76,74,79,85,79,77,87,77,73,83,65,69,60,80,85,26,79,80,76,78,42,30,30
Domenico Criscito,ITA,DF,Genoa,Serie A,32.0,183,75,78,78,2071,432,LB,4700000,18000,4.0,Left,2,3,3,High,Medium,73,61,76,71,77,74,79,56,69,77,62,72,72,66,78,73,74,73,65,73,65,68,78,79,69,59,78,74,68,72,78,74,81,78,78
Domingos Duarte,POR,DF,Granada,La Liga,24.0,190,78,78,82,1634,354,CB,12000000,25000,22.0,Right,1,3,2,Medium,Medium,54,35,55,53,79,78,54,30,80,78,27,48,27,27,56,63,55,53,41,78,48,50,60,75,80,31,82,79,40,30,45,64,78,81,79
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,22.0,187,71,79,84,1934,415,ST,17000000,80000,9.0,Right,1,3,3,High,Medium,83,76,63,75,38,80,65,78,85,70,73,76,64,54,44,76,79,87,72,79,64,79,90,79,81,65,75,34,82,64,77,71,38,31,23
Dominic Solanke,ENG,FW,Bournemouth,Premier League,21.0,187,80,69,77,1709,361,ST,1600000,7000,9.0,Right,1,3,3,High,Medium,66,67,61,70,27,70,54,66,68,68,67,71,54,42,59,72,64,68,67,65,66,73,72,65,76,63,61,22,68,63,70,67,21,25,22
Dominick Drexler,GER,MF,Köln,Bundesliga,29.0,182,71,73,73,1776,379,CAM,3800000,22000,24.0,Right,1,3,3,High,High,71,63,72,77,40,56,69,66,49,76,65,77,68,52,66,76,76,66,79,73,77,61,59,74,50,60,50,22,66,78,58,77,58,34,28
Dominik Kohr,GER,MF,Eint Frankfurt,Bundesliga,25.0,185,81,75,77,1924,429,CB,7000000,23000,28.0,Right,2,3,3,Medium,Medium,80,61,62,71,75,80,42,58,69,73,45,69,51,46,66,75,74,84,66,74,69,72,74,80,77,65,87,74,49,68,47,69,82,72,73
Dominique Heintz,GER,DF,Freiburg,Bundesliga,25.0,188,90,75,77,1711,370,CB,7000000,21000,23.0,Left,2,3,2,Medium,Medium,61,37,60,59,74,79,47,23,75,70,26,58,55,32,65,63,52,69,51,74,48,49,60,68,87,56,78,73,45,62,41,68,72,76,76
Douglas Luiz,BRA,MF,Aston Villa,Premier League,21.0,178,70,75,83,1977,421,CDM,9000000,38000,6.0,Right,1,2,3,High,Medium,66,67,73,74,71,70,69,64,62,77,58,72,66,63,76,75,65,66,74,80,74,76,66,73,68,76,74,72,52,72,44,73,68,75,72
Dries Mertens,BEL,FW,Napoli,Serie A,32.0,169,61,85,85,2023,423,CF,24000000,115000,14.0,Right,3,4,4,High,Low,86,82,80,89,35,51,79,84,40,82,70,88,82,79,74,89,90,82,94,86,92,80,58,70,37,81,59,36,85,83,79,81,25,40,40
Duván Zapata,COL,FW,Atalanta,Serie A,28.0,189,88,83,83,1882,413,ST,26000000,87000,91.0,Right,2,4,3,High,Medium,75,81,59,78,37,83,44,88,83,75,77,79,48,62,47,81,72,78,67,82,60,86,79,72,93,64,72,20,86,59,70,82,52,24,22
Dušan Vlahović,SRB,FW,Fiorentina,Serie A,19.0,190,75,70,81,1602,342,ST,3100000,21000,9.0,Left,1,3,2,Medium,Medium,62,72,52,68,27,61,44,74,68,60,68,70,66,37,40,72,57,66,55,68,48,78,64,56,68,64,50,22,74,54,64,66,18,26,24
Dwight McNeil,ENG,MF,Burnley,Premier League,19.0,183,70,78,86,1977,418,LM,15500000,41000,11.0,Left,1,3,3,High,High,76,68,76,79,52,67,81,68,59,76,57,81,77,75,69,79,73,78,76,75,77,69,68,77,65,71,57,46,73,77,62,77,53,54,44
Dídac Vilà,ESP,DF,Espanyol,La Liga,30.0,185,74,75,75,1890,408,LB,4800000,9000,17.0,Left,1,3,3,High,Medium,69,51,68,72,73,75,76,38,69,71,46,73,72,37,69,75,69,69,68,73,52,72,71,74,73,61,80,74,68,62,34,69,67,77,76
Edin Džeko,BIH,FW,Roma,Serie A,33.0,193,80,83,83,1918,408,ST,13500000,500,9.0,Right,3,5,2,Medium,Medium,59,84,71,75,46,73,63,88,83,77,77,76,65,54,72,85,61,58,56,83,36,86,64,70,81,79,58,50,89,75,67,83,58,28,16
Edu Expósito,ESP,MF,Eibar,La Liga,22.0,179,67,76,83,1819,392,CM,10500000,23000,10.0,Right,1,5,4,Medium,Medium,54,70,71,74,66,57,56,74,46,80,36,76,34,50,78,77,62,47,61,77,68,68,47,68,53,73,58,73,71,80,70,72,67,71,52
Ellyes Skhiri,TUN,MF,Köln,Bundesliga,24.0,185,73,77,80,2032,423,CDM,10000000,25000,28.0,Right,1,3,3,Medium,High,58,68,72,74,78,73,71,62,73,77,60,74,72,55,74,75,62,55,74,71,64,78,76,84,69,79,69,85,56,67,58,69,78,76,73
Emerson,BRA,DF,Betis,La Liga,20.0,181,79,78,88,2012,435,RB,15000000,17000,22.0,Right,1,3,3,High,Medium,80,62,70,73,74,76,75,57,68,77,44,72,73,47,65,73,79,80,74,75,69,77,78,79,74,62,79,72,71,61,48,65,70,78,79
Enda Stevens,IRL,DF,Sheffield Utd,Premier League,29.0,183,78,78,78,1862,409,LWB,8500000,37000,3.0,Left,1,2,3,Medium,Medium,75,45,66,75,74,74,78,43,56,69,24,77,70,53,58,74,73,76,67,77,66,57,65,85,73,38,64,76,57,57,52,65,78,76,68
Enes Ünal,TUR,FW,Valladolid,La Liga,22.0,187,78,75,81,1897,399,ST,9500000,24000,10.0,Right,1,3,3,High,Medium,69,77,64,76,36,77,56,75,73,74,74,77,68,63,47,76,70,69,74,73,73,85,80,70,83,72,70,29,74,65,80,68,34,33,24
Enis Bardhi,MKD,MF,Levante,La Liga,24.0,172,64,79,82,2125,438,CAM,16000000,26000,10.0,Right,1,4,4,Medium,Medium,76,81,78,82,63,58,77,78,52,77,81,82,89,91,74,81,79,73,84,81,86,85,45,76,48,84,62,66,75,79,78,82,63,65,63
Erick Pulgar,CHI,MF,Fiorentina,Serie A,25.0,187,74,76,78,2048,420,CDM,8500000,42000,78.0,Right,1,3,3,Medium,High,61,61,75,74,73,76,73,49,69,78,54,74,77,71,76,78,63,59,66,74,68,78,78,80,73,68,80,72,58,72,79,76,72,76,72
Erik Thommy,GER,DF,Düsseldorf,Bundesliga,24.0,174,70,75,76,1830,384,LM,8000000,22000,11.0,Right,1,3,3,Medium,Medium,79,71,72,77,33,52,78,71,49,72,65,76,76,74,62,76,84,75,88,71,84,73,51,67,51,74,37,27,69,71,57,62,28,37,31
Fabinho,BRA,MF,Liverpool,Premier League,25.0,188,78,87,89,2171,460,CDM,54500000,155000,3.0,Right,3,2,3,Medium,High,67,69,79,77,85,83,75,63,75,85,47,76,71,53,83,82,66,68,66,84,65,81,75,88,81,70,86,87,70,79,90,84,86,87,85
Fabio Depaoli,ITA,MF,Sampdoria,Serie A,22.0,182,71,71,80,1822,389,RM,3600000,11000,12.0,Right,1,3,3,Medium,Medium,72,53,70,72,67,55,75,50,59,73,48,72,72,44,71,72,72,72,68,74,72,62,35,66,49,47,62,65,64,64,65,63,66,70,71
Fabio Lucioni,ITA,DF,Lecce,Serie A,31.0,185,80,70,70,1578,321,CB,1100000,18000,5.0,Right,1,4,2,Medium,High,49,33,48,50,71,70,35,33,73,56,27,42,50,47,50,58,60,40,55,71,54,35,91,59,71,26,75,72,44,43,47,69,70,72,70
Fabio Pisacane,ITA,DF,Cagliari,Serie A,33.0,178,77,73,73,1612,342,CB,1500000,23000,19.0,Right,1,3,2,Medium,High,61,26,52,62,75,66,60,20,65,63,14,61,28,25,50,60,65,58,64,78,66,32,87,56,65,32,77,75,49,41,28,69,76,78,73
Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,36.0,180,79,80,80,1920,397,CF,5500000,22000,27.0,Right,2,4,4,Medium,Medium,64,85,75,80,30,63,66,84,69,79,85,79,78,77,73,84,62,65,70,83,76,87,67,62,71,87,44,26,87,77,85,80,35,21,15
Fabián Orellana,CHI,MF,Eibar,La Liga,33.0,171,64,79,79,1926,391,RM,6500000,25000,12.0,Right,2,4,4,High,Low,73,75,78,81,40,44,78,78,69,79,61,84,80,79,77,79,77,70,77,79,72,67,64,57,32,80,54,31,79,78,75,69,43,37,25
Fabián Ruiz Peña,ESP,MF,Napoli,Serie A,23.0,189,70,82,88,2105,444,CM,30000000,70000,8.0,Left,1,4,4,Medium,Medium,63,78,78,83,74,68,72,79,67,81,67,85,75,59,81,85,67,60,71,83,66,75,46,75,67,83,68,77,82,84,67,77,70,78,75
Federico Bernardeschi,ITA,MF,Juventus,Serie A,25.0,185,77,80,82,2100,444,CAM,18000000,81000,33.0,Left,2,3,5,High,Medium,80,75,80,84,60,65,81,68,54,83,74,84,82,80,71,84,81,79,85,78,79,82,49,77,66,82,52,66,78,79,72,78,66,54,50
Federico Chiesa,ITA,FW,Fiorentina,Serie A,21.0,175,70,78,84,1911,419,CAM,14500000,50000,25.0,Right,2,4,4,High,High,85,74,71,83,44,62,72,70,50,76,68,84,74,48,60,81,87,84,86,78,77,81,53,74,57,78,62,30,76,73,62,76,65,34,34
Federico Fernández,ARG,DF,Newcastle Utd,Premier League,30.0,190,83,77,77,1607,333,CB,6500000,37000,18.0,Right,2,2,2,Medium,High,48,30,53,50,78,74,32,28,79,69,21,39,51,40,59,65,47,49,48,75,45,30,81,62,78,29,79,76,40,45,42,72,78,80,77
Federico Valverde,URU,MF,Real Madrid,La Liga,21.0,182,78,83,90,2173,474,CM,36000000,135000,15.0,Right,1,3,3,High,High,86,74,78,79,77,80,66,70,59,85,70,79,70,66,84,82,82,89,76,84,69,80,59,86,79,81,81,81,76,80,59,82,79,80,76
Felipe Caicedo,ECU,FW,Lazio,Serie A,30.0,183,82,78,78,1968,419,CF,9500000,60000,20.0,Left,2,3,3,High,Medium,73,76,71,75,44,80,59,76,75,79,75,77,66,68,66,79,72,74,59,78,67,84,75,59,91,68,80,43,82,75,73,70,32,44,47
Fernandinho,BRA,DF,Manchester City,Premier League,34.0,179,67,84,84,2192,456,CB,9500000,110000,25.0,Right,3,4,3,Medium,High,64,72,78,78,85,79,68,66,71,86,73,76,70,72,81,82,67,62,69,88,77,83,84,78,76,78,87,89,70,73,61,81,88,86,83
Fernando,BRA,MF,Sevilla,La Liga,32.0,183,76,83,83,2035,439,CDM,17000000,39000,25.0,Right,2,3,3,Medium,Medium,66,62,74,73,82,82,62,54,74,83,56,71,65,53,78,78,66,66,70,81,62,76,76,82,81,68,85,85,59,74,54,78,83,83,81
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,26.0,184,82,83,83,2212,474,LM,27000000,45000,10.0,Left,2,2,3,High,High,88,76,79,83,68,80,89,74,59,75,70,85,79,80,73,83,89,87,76,81,77,84,67,91,77,78,78,63,79,81,64,80,69,72,68
Filip Đuričić,SRB,MF,Sassuolo,Serie A,27.0,181,75,75,75,1864,387,CAM,6500000,30000,10.0,Right,1,4,4,High,Low,73,67,73,77,42,55,65,64,48,76,69,77,76,69,71,78,74,72,77,75,77,70,71,51,59,71,45,42,70,77,69,71,45,35,43
Filippo Falco,ITA,FW,Lecce,Serie A,27.0,171,70,72,72,1803,377,CAM,3100000,26000,10.0,Left,1,3,3,High,Low,79,67,69,77,29,56,64,64,53,72,64,76,74,70,67,75,78,79,90,67,91,70,55,66,54,73,51,31,69,68,59,64,28,22,23
