Player,Nation,Pos,Team,League,Age,Height,Weight,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltiesAtt,YellowCards,RedCards,Per90MinutesGls,Per90MinutesAst,Per90MinutesG+A,Per90MinutesG-PK,Per90MinutesG+A-PK,xG,npxG,xA,Per90MinutesxG,Per90MinutesxA,Per90MinutesxG+xA,Per90MinutesnpxG,Per90MinutesnpxG+xA,90sPlayed,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,Pressures,SuccessfulPressures,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Blocks,BlockedShots,BlockedSoT,BlockedPasses,PassesIntercepted,Tkl+Int,Clearances,ErrorsLeadingToShot,SCA,SCA90,SCATypesPassLive,SCATypesPassDead,SCATypesDrib,SCATypesSh,SCATypesFld,GCA,GCA90,GCATypesPassLive,GCATypesPassDead,GCATypesDrib,GCATypesSh,GCATypesFld,GCATypesOG,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,LongAst,LongxA,LongA-xA,LongKP,Long,LongPPA,LongCrsPA,LongProg,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesPress,PassTypesSw,PassTypesCrs,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,GroundPasses,LowPasses,HighPasses,LeftFootPasses,RightFootPasses,HeadedPasses,ThrowInsTaken,MiscPasses,OutcomesOff,OutcomesOut,OutcomesInt,OutcomesBlocks,TouchesTouches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribblesSucc,DribblesAtt,DribblesSucc%,Dribbles#Pl,DribblesMegs,Carries,CarriesTotDist,CarriesPrgDist,ReceivingTarg,ReceivingRec,ReceivingRec%,ReceivingMiscon,ReceivingDispos,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardFK,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG
Felipe Caicedo,ECU,FW,Lazio,Serie A,30.0,183,82,30,18,1406,9,2,0,1,7,0,0.58,0.13,0.7,0.58,0.7,6.0,5.2,2.7,0.38,0.18,0.56,0.33,0.51,15.6,27.0,24,10.0,11.0,6.0,2.0,10.0,20.0,8.0,232.0,63.0,27.2,27.0,103.0,102.0,6.0,3.0,0.0,3.0,4,31,3.0,0.0,42.0,2.69,36.0,0.0,2.0,0.0,4.0,9.0,0.58,5.0,0.0,1.0,0.0,3.0,0.0,321.0,404.0,79.5,4173.0,786.0,38.0,47.0,80.9,257.0,318.0,80.8,26.0,39.0,66.7,2,2.7,-0.7,22.0,20.0,9.0,0.0,26.0,399.0,5.0,2.0,1.0,111.0,4.0,2,0.0,0.0,0.0,0.0,282.0,96.0,26.0,290.0,72.0,13.0,1.0,10.0,2.0,5.0,10.0,5.0,557.0,3.0,46.0,264.0,281.0,87.0,553.0,15.0,23.0,65.2,15.0,0.0,403.0,1599.0,821.0,665.0,454.0,68.3,38.0,25.0,30,14,46.7,1.92,0.9,0.3,0.64,0.0,0.17,3.0,3.8
Fernandinho,BRA,DF,Manchester City,Premier League,34.0,179,67,30,26,2397,0,1,0,0,9,2,0.0,0.04,0.04,0.0,0.04,1.1,1.1,0.5,0.04,0.02,0.06,0.04,0.06,26.6,44.0,25,29.0,15.0,0.0,18.0,46.0,39.1,28.0,217.0,89.0,41.0,106.0,90.0,21.0,40.0,17.0,1.0,23.0,16,60,106.0,1.0,27.0,1.01,24.0,0.0,0.0,3.0,0.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,1985.0,2190.0,90.6,44219.0,14223.0,12.0,28.0,42.9,1303.0,1395.0,93.4,670.0,767.0,87.4,1,0.5,0.5,7.0,226.0,11.0,1.0,168.0,2134.0,56.0,44.0,2.0,249.0,76.0,3,0.0,0.0,0.0,0.0,1709.0,193.0,288.0,243.0,1801.0,83.0,12.0,9.0,6.0,23.0,12.0,22.0,2435.0,241.0,972.0,1525.0,113.0,21.0,2381.0,12.0,14.0,85.7,12.0,2.0,1751.0,11288.0,7387.0,1884.0,1854.0,98.4,6.0,7.0,17,2,11.8,0.64,0.08,0.0,0.0,0.0,0.06,-1.1,-1.1
Fernando,BRA,MF,Sevilla,La Liga,32.0,183,76,34,30,2659,2,3,0,0,13,0,0.07,0.1,0.17,0.07,0.17,2.1,2.1,0.6,0.07,0.02,0.09,0.07,0.09,29.5,66.0,44,42.0,22.0,2.0,28.0,64.0,43.8,36.0,506.0,186.0,36.8,216.0,249.0,41.0,58.0,15.0,0.0,43.0,30,96,129.0,0.0,31.0,1.05,26.0,0.0,1.0,3.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,1380.0,1536.0,89.8,29498.0,6699.0,28.0,40.0,70.0,911.0,994.0,91.6,441.0,502.0,87.8,3,0.6,2.4,11.0,87.0,7.0,3.0,75.0,1483.0,53.0,44.0,1.0,185.0,75.0,6,1.0,0.0,1.0,0.0,1066.0,266.0,204.0,166.0,1221.0,89.0,8.0,13.0,3.0,18.0,10.0,8.0,1866.0,150.0,658.0,1116.0,190.0,32.0,1816.0,16.0,22.0,72.7,18.0,1.0,1121.0,5337.0,2498.0,1197.0,1132.0,94.6,22.0,11.0,14,6,42.9,0.47,0.2,0.14,0.33,0.0,0.15,-0.1,-0.1
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,26.0,184,82,33,33,2958,4,11,0,0,4,0,0.12,0.33,0.46,0.12,0.46,6.0,6.0,9.3,0.18,0.28,0.46,0.18,0.46,32.9,71.0,47,33.0,25.0,13.0,23.0,71.0,32.4,48.0,558.0,156.0,28.0,198.0,207.0,153.0,63.0,3.0,0.0,60.0,15,86,15.0,0.0,140.0,4.26,65.0,46.0,10.0,13.0,6.0,20.0,0.61,9.0,8.0,0.0,3.0,0.0,0.0,965.0,1613.0,59.8,19659.0,8143.0,18.0,103.0,17.5,691.0,939.0,73.6,256.0,571.0,44.8,11,9.3,1.7,79.0,71.0,61.0,41.0,275.0,1288.0,325.0,54.0,4.0,262.0,102.0,223,110.0,25.0,60.0,14.0,690.0,344.0,579.0,1189.0,185.0,55.0,161.0,3.0,8.0,46.0,46.0,122.0,2063.0,25.0,312.0,924.0,1015.0,115.0,1744.0,86.0,141.0,61.0,88.0,6.0,1404.0,11111.0,7081.0,1518.0,1238.0,81.6,63.0,62.0,86,27,31.4,2.62,0.82,0.05,0.15,10.0,0.07,-2.0,-2.0
Filip Đuričić,SRB,MF,Sassuolo,Serie A,27.0,181,75,29,19,1633,5,5,0,0,6,0,0.28,0.28,0.55,0.28,0.55,3.2,3.2,4.2,0.18,0.23,0.41,0.18,0.41,18.1,29.0,20,6.0,13.0,10.0,4.0,21.0,19.0,17.0,317.0,103.0,32.5,44.0,160.0,113.0,26.0,3.0,0.0,23.0,7,36,8.0,0.0,70.0,3.86,48.0,10.0,6.0,3.0,3.0,10.0,0.55,7.0,0.0,1.0,1.0,1.0,0.0,552.0,698.0,79.1,9010.0,2188.0,17.0,47.0,36.2,452.0,535.0,84.5,83.0,116.0,71.6,5,4.2,0.8,39.0,44.0,21.0,1.0,73.0,668.0,30.0,2.0,9.0,137.0,13.0,5,28.0,11.0,11.0,2.0,549.0,87.0,62.0,85.0,585.0,15.0,0.0,5.0,4.0,12.0,16.0,37.0,962.0,17.0,115.0,482.0,449.0,59.0,930.0,38.0,61.0,62.3,40.0,6.0,736.0,5308.0,3252.0,885.0,714.0,80.7,30.0,54.0,41,9,22.0,2.26,0.5,0.12,0.56,2.0,0.08,1.8,1.8
Filippo Falco,ITA,FW,Lecce,Serie A,27.0,171,70,30,24,2014,4,6,0,0,0,0,0.18,0.27,0.45,0.18,0.45,3.1,3.1,4.3,0.14,0.19,0.33,0.14,0.33,22.4,19.0,15,3.0,8.0,8.0,4.0,16.0,25.0,12.0,235.0,56.0,23.8,54.0,117.0,64.0,13.0,1.0,0.0,12.0,5,24,1.0,0.0,124.0,5.54,87.0,15.0,8.0,8.0,6.0,13.0,0.58,7.0,4.0,0.0,2.0,0.0,0.0,812.0,1012.0,80.2,14146.0,3781.0,15.0,49.0,30.6,650.0,724.0,89.8,147.0,239.0,61.5,6,4.3,1.7,51.0,53.0,49.0,22.0,132.0,889.0,123.0,40.0,2.0,192.0,34.0,98,39.0,3.0,1.0,2.0,674.0,143.0,195.0,876.0,104.0,11.0,8.0,10.0,4.0,10.0,11.0,36.0,1278.0,4.0,119.0,616.0,675.0,65.0,1163.0,57.0,79.0,72.2,58.0,4.0,1052.0,8171.0,4783.0,1170.0,985.0,84.2,32.0,45.0,57,22,38.6,2.55,0.98,0.07,0.18,5.0,0.05,0.9,0.9
Florian Grillitsch,AUT,MF,Hoffenheim,Bundesliga,23.0,187,77,31,28,2408,0,3,0,0,3,0,0.0,0.11,0.11,0.0,0.11,1.1,1.1,2.4,0.04,0.09,0.13,0.04,0.13,26.8,67.0,45,38.0,28.0,1.0,26.0,61.0,42.6,35.0,407.0,131.0,32.2,176.0,198.0,33.0,53.0,7.0,0.0,46.0,36,103,46.0,0.0,58.0,2.17,47.0,1.0,5.0,2.0,3.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,1577.0,1775.0,88.8,33358.0,7544.0,16.0,37.0,43.2,1083.0,1169.0,92.6,478.0,569.0,84.0,3,2.4,0.6,20.0,110.0,25.0,5.0,137.0,1684.0,91.0,80.0,6.0,376.0,45.0,8,1.0,0.0,1.0,0.0,1292.0,235.0,248.0,178.0,1485.0,71.0,9.0,6.0,4.0,16.0,17.0,23.0,2072.0,127.0,720.0,1292.0,241.0,23.0,1998.0,24.0,35.0,68.6,24.0,0.0,1382.0,9329.0,4615.0,1467.0,1419.0,96.7,18.0,35.0,17,1,5.9,0.64,0.04,0.0,0.0,0.0,0.06,-1.1,-1.1
Florian Kainz,AUT,FW,Köln,Bundesliga,26.0,176,71,28,16,1561,5,6,1,1,5,0,0.29,0.35,0.63,0.23,0.58,3.3,2.6,7.1,0.19,0.41,0.6,0.15,0.55,17.3,22.0,10,13.0,5.0,4.0,8.0,26.0,30.8,18.0,288.0,67.0,23.3,89.0,132.0,67.0,28.0,2.0,0.0,26.0,6,28,16.0,0.0,72.0,4.15,42.0,24.0,3.0,2.0,0.0,7.0,0.4,4.0,2.0,0.0,0.0,0.0,1.0,456.0,731.0,62.4,9983.0,4288.0,2.0,29.0,6.9,302.0,390.0,77.4,152.0,312.0,48.7,6,7.1,-1.1,48.0,51.0,35.0,18.0,136.0,610.0,121.0,24.0,3.0,113.0,49.0,86,65.0,22.0,30.0,10.0,338.0,131.0,262.0,186.0,488.0,17.0,32.0,2.0,8.0,22.0,13.0,41.0,942.0,13.0,157.0,399.0,456.0,37.0,821.0,26.0,47.0,55.3,28.0,4.0,623.0,4237.0,2394.0,749.0,600.0,80.1,20.0,22.0,40,15,37.5,2.31,0.86,0.1,0.27,7.0,0.06,1.7,1.4
Florian Neuhaus,GER,MF,M'Gladbach,Bundesliga,22.0,183,74,30,26,2356,4,2,0,0,6,0,0.15,0.08,0.23,0.15,0.23,6.0,5.7,3.1,0.23,0.12,0.35,0.22,0.34,26.2,46.0,27,15.0,24.0,7.0,14.0,56.0,25.0,42.0,503.0,159.0,31.6,146.0,267.0,90.0,42.0,5.0,0.0,37.0,21,67,15.0,0.0,81.0,3.09,57.0,5.0,7.0,7.0,5.0,6.0,0.23,5.0,0.0,1.0,0.0,0.0,0.0,1052.0,1275.0,82.5,19515.0,5637.0,23.0,41.0,56.1,807.0,926.0,87.1,222.0,308.0,72.1,2,3.1,-1.1,27.0,82.0,30.0,2.0,141.0,1213.0,62.0,42.0,4.0,267.0,43.0,14,19.0,6.0,5.0,3.0,927.0,191.0,157.0,234.0,1000.0,22.0,1.0,11.0,7.0,12.0,32.0,18.0,1553.0,38.0,373.0,931.0,380.0,56.0,1499.0,48.0,65.0,73.8,52.0,3.0,1148.0,6758.0,3927.0,1240.0,1092.0,88.1,28.0,30.0,58,22,37.9,2.22,0.84,0.07,0.18,3.0,0.1,-2.0,-1.7
Florian Niederlechner,GER,FW,Augsburg,Bundesliga,28.0,187,86,33,31,2720,13,6,1,2,1,0,0.43,0.2,0.63,0.4,0.6,12.6,11.1,5.5,0.42,0.18,0.6,0.37,0.55,30.2,26.0,18,4.0,14.0,8.0,4.0,29.0,13.8,25.0,542.0,129.0,23.8,46.0,225.0,271.0,35.0,11.0,0.0,24.0,5,31,34.0,0.0,71.0,2.35,40.0,1.0,12.0,6.0,12.0,13.0,0.43,6.0,0.0,4.0,1.0,2.0,0.0,369.0,502.0,73.5,6280.0,1336.0,19.0,54.0,35.2,291.0,362.0,80.4,59.0,86.0,68.6,6,5.5,0.5,28.0,24.0,15.0,1.0,42.0,430.0,72.0,1.0,4.0,128.0,10.0,22,0.0,0.0,0.0,0.0,308.0,111.0,83.0,76.0,347.0,37.0,1.0,10.0,2.0,7.0,11.0,32.0,887.0,43.0,109.0,429.0,404.0,155.0,814.0,33.0,72.0,45.8,40.0,4.0,559.0,3258.0,1999.0,1214.0,569.0,46.9,68.0,47.0,75,38,50.7,2.48,1.26,0.16,0.32,1.0,0.15,0.4,0.9
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,20.0,170,66,28,22,1830,1,0,0,0,2,1,0.05,0.0,0.05,0.05,0.05,1.3,1.3,0.6,0.07,0.03,0.1,0.07,0.1,20.3,34.0,24,14.0,14.0,6.0,7.0,27.0,25.9,20.0,358.0,110.0,30.7,115.0,193.0,50.0,19.0,1.0,0.0,18.0,11,45,21.0,0.0,29.0,1.43,23.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,881.0,88.6,14451.0,2775.0,12.0,26.0,46.2,601.0,655.0,91.8,168.0,200.0,84.0,0,0.6,-0.6,12.0,62.0,3.0,0.0,43.0,850.0,31.0,18.0,0.0,166.0,25.0,6,9.0,3.0,1.0,1.0,669.0,107.0,105.0,111.0,739.0,16.0,3.0,4.0,2.0,12.0,8.0,13.0,1047.0,36.0,237.0,671.0,215.0,14.0,1016.0,17.0,26.0,65.4,18.0,1.0,775.0,4169.0,1673.0,857.0,751.0,87.6,22.0,28.0,14,4,28.6,0.69,0.2,0.07,0.25,0.0,0.09,-0.3,-0.3
Francesco Acerbi,ITA,DF,Lazio,Serie A,31.0,192,88,36,36,3162,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,0.06,0.05,0.1,0.06,0.1,35.1,52.0,33,36.0,10.0,6.0,13.0,26.0,50.0,13.0,319.0,114.0,35.7,212.0,81.0,26.0,61.0,30.0,0.0,31.0,28,80,165.0,2.0,27.0,0.77,24.0,0.0,1.0,1.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1809.0,2011.0,90.0,41350.0,12495.0,16.0,35.0,45.7,1156.0,1227.0,94.2,637.0,749.0,85.0,2,1.6,0.4,7.0,138.0,14.0,3.0,127.0,1926.0,85.0,64.0,3.0,215.0,102.0,24,1.0,0.0,0.0,0.0,1428.0,229.0,354.0,1543.0,324.0,76.0,20.0,5.0,1.0,27.0,8.0,20.0,2365.0,370.0,1206.0,1158.0,202.0,34.0,2287.0,15.0,17.0,88.2,15.0,0.0,1559.0,11551.0,6232.0,1641.0,1600.0,97.5,8.0,7.0,17,7,41.2,0.48,0.2,0.12,0.29,0.0,0.12,0.0,0.0
Francesco Caputo,ITA,FW,Sassuolo,Serie A,31.0,181,74,36,33,2931,21,7,2,2,3,0,0.64,0.21,0.86,0.58,0.8,15.6,14.1,5.9,0.48,0.18,0.66,0.43,0.61,32.6,8.0,5,0.0,6.0,2.0,0.0,12.0,0.0,12.0,375.0,100.0,26.7,17.0,126.0,232.0,17.0,3.0,0.0,14.0,1,9,9.0,0.0,93.0,2.86,81.0,0.0,4.0,2.0,6.0,16.0,0.49,10.0,0.0,3.0,1.0,2.0,0.0,635.0,812.0,78.2,8697.0,991.0,38.0,79.0,48.1,539.0,658.0,81.9,58.0,75.0,77.3,7,5.9,1.1,49.0,21.0,20.0,2.0,37.0,733.0,79.0,2.0,6.0,213.0,5.0,13,0.0,0.0,0.0,0.0,586.0,149.0,77.0,134.0,617.0,21.0,1.0,30.0,5.0,11.0,29.0,21.0,1087.0,9.0,60.0,526.0,554.0,201.0,1007.0,23.0,41.0,56.1,26.0,3.0,735.0,3636.0,1843.0,1353.0,864.0,63.9,65.0,37.0,72,33,45.8,2.21,1.01,0.26,0.58,0.0,0.2,5.4,4.9
Francesco Vicari,ITA,DF,SPAL,Serie A,24.0,190,80,34,33,2898,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.01,0.01,0.01,0.01,0.01,32.2,30.0,20,24.0,5.0,1.0,12.0,27.0,44.4,15.0,231.0,74.0,32.0,146.0,82.0,3.0,68.0,42.0,2.0,26.0,17,47,181.0,2.0,13.0,0.4,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,1264.0,87.1,25812.0,8421.0,5.0,15.0,33.3,667.0,718.0,92.9,429.0,531.0,80.8,0,0.2,-0.2,3.0,60.0,1.0,0.0,60.0,1197.0,67.0,64.0,0.0,145.0,39.0,2,0.0,0.0,0.0,0.0,869.0,162.0,233.0,100.0,1051.0,83.0,3.0,2.0,5.0,19.0,3.0,12.0,1574.0,337.0,926.0,692.0,31.0,13.0,1511.0,1.0,2.0,50.0,1.0,0.0,869.0,3783.0,2347.0,986.0,971.0,98.5,4.0,1.0,9,2,22.2,0.28,0.06,0.0,0.0,0.0,0.03,-0.2,-0.2
Francis Coquelin,FRA,MF,Valencia,La Liga,28.0,176,74,26,21,1905,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.02,0.01,0.03,0.02,0.03,21.2,34.0,24,20.0,13.0,1.0,11.0,31.0,35.5,20.0,285.0,79.0,27.7,145.0,115.0,25.0,30.0,10.0,0.0,20.0,29,63,32.0,0.0,17.0,0.8,15.0,0.0,0.0,1.0,1.0,2.0,0.09,0.0,0.0,0.0,1.0,1.0,0.0,885.0,984.0,89.9,17359.0,3670.0,12.0,20.0,60.0,672.0,711.0,94.5,201.0,253.0,79.4,0,0.2,-0.2,7.0,87.0,8.0,0.0,60.0,958.0,26.0,23.0,0.0,151.0,47.0,3,0.0,0.0,0.0,0.0,730.0,110.0,144.0,141.0,793.0,31.0,3.0,3.0,1.0,19.0,14.0,7.0,1184.0,68.0,347.0,734.0,167.0,19.0,1162.0,21.0,29.0,72.4,21.0,0.0,843.0,3737.0,1723.0,859.0,810.0,94.3,19.0,23.0,10,1,10.0,0.47,0.05,0.0,0.0,0.0,0.04,-0.4,-0.4
Franco Vázquez,ARG,MF,Sevilla,La Liga,30.0,187,82,31,11,1098,3,0,0,0,5,0,0.25,0.0,0.25,0.25,0.25,1.4,1.4,0.4,0.11,0.03,0.14,0.11,0.14,12.2,31.0,19,17.0,12.0,2.0,11.0,37.0,29.7,26.0,255.0,66.0,25.9,69.0,143.0,43.0,16.0,2.0,0.0,14.0,6,37,8.0,0.0,25.0,2.05,21.0,0.0,1.0,1.0,2.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,546.0,636.0,85.8,9642.0,2152.0,9.0,18.0,50.0,432.0,488.0,88.5,105.0,130.0,80.8,0,0.4,-0.4,9.0,56.0,9.0,1.0,56.0,624.0,12.0,7.0,0.0,124.0,16.0,15,2.0,1.0,0.0,0.0,429.0,114.0,93.0,497.0,62.0,46.0,3.0,2.0,1.0,8.0,8.0,11.0,793.0,13.0,137.0,455.0,245.0,41.0,783.0,18.0,23.0,78.3,19.0,1.0,544.0,2452.0,1195.0,701.0,574.0,81.9,18.0,28.0,16,6,37.5,1.31,0.49,0.19,0.5,0.0,0.09,1.6,1.6
Fred,BRA,MF,Manchester Utd,Premier League,26.0,169,62,29,23,2163,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,0.08,0.1,0.18,0.08,0.18,24.0,79.0,51,41.0,33.0,5.0,29.0,98.0,29.6,69.0,707.0,194.0,27.4,289.0,328.0,90.0,64.0,8.0,0.0,56.0,28,107,26.0,0.0,83.0,3.45,64.0,8.0,4.0,2.0,5.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1463.0,1714.0,85.4,29437.0,7269.0,23.0,56.0,41.1,1045.0,1149.0,90.9,395.0,509.0,77.6,0,2.5,-2.5,37.0,155.0,15.0,3.0,150.0,1608.0,106.0,53.0,3.0,344.0,83.0,27,42.0,15.0,16.0,0.0,1231.0,232.0,251.0,1200.0,466.0,29.0,8.0,6.0,2.0,18.0,20.0,37.0,2035.0,69.0,480.0,1216.0,487.0,23.0,1943.0,40.0,52.0,76.9,43.0,4.0,1482.0,7763.0,3976.0,1478.0,1393.0,94.2,28.0,40.0,40,10,25.0,1.66,0.42,0.0,0.0,3.0,0.05,-2.0,-2.0
Frenkie de Jong,NED,MF,Barcelona,La Liga,22.0,180,74,29,24,2115,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,1.0,1.0,2.3,0.04,0.1,0.14,0.04,0.14,23.5,30.0,22,10.0,13.0,7.0,5.0,19.0,26.3,14.0,313.0,97.0,31.0,76.0,149.0,88.0,24.0,7.0,0.0,17.0,15,45,17.0,0.0,50.0,2.13,47.0,0.0,1.0,0.0,2.0,9.0,0.38,8.0,0.0,0.0,0.0,1.0,0.0,1536.0,1661.0,92.5,25880.0,6035.0,33.0,58.0,56.9,1255.0,1330.0,94.4,248.0,273.0,90.8,2,2.3,-0.3,23.0,154.0,21.0,2.0,113.0,1630.0,31.0,17.0,9.0,315.0,28.0,9,1.0,0.0,0.0,0.0,1361.0,192.0,108.0,85.0,1520.0,35.0,13.0,3.0,5.0,9.0,26.0,22.0,1835.0,36.0,364.0,1136.0,542.0,41.0,1813.0,38.0,53.0,71.7,40.0,1.0,1510.0,9514.0,5126.0,1656.0,1520.0,91.8,20.0,25.0,4,4,100.0,0.17,0.17,0.5,0.5,0.0,0.26,1.0,1.0
Gabriel Jesus,BRA,FW,Manchester City,Premier League,22.0,175,73,34,21,2030,14,7,0,1,3,0,0.62,0.31,0.93,0.62,0.93,18.5,17.7,3.8,0.82,0.17,0.99,0.79,0.95,22.6,25.0,19,4.0,9.0,12.0,5.0,25.0,20.0,20.0,419.0,127.0,30.3,25.0,155.0,239.0,31.0,4.0,0.0,27.0,12,37,7.0,0.0,70.0,3.1,48.0,0.0,13.0,8.0,1.0,13.0,0.58,9.0,0.0,3.0,1.0,0.0,0.0,532.0,608.0,87.5,7631.0,902.0,28.0,46.0,60.9,452.0,499.0,90.6,52.0,63.0,82.5,7,3.8,3.2,30.0,21.0,14.0,1.0,26.0,589.0,19.0,0.0,2.0,145.0,8.0,5,1.0,0.0,0.0,0.0,467.0,92.0,49.0,70.0,486.0,17.0,4.0,11.0,1.0,6.0,13.0,18.0,916.0,8.0,57.0,357.0,543.0,204.0,896.0,51.0,73.0,69.9,52.0,1.0,647.0,3244.0,1619.0,1090.0,686.0,62.9,51.0,35.0,102,43,42.2,4.52,1.91,0.14,0.33,0.0,0.18,-4.5,-3.7
Gabriel Paulista,BRA,DF,Valencia,La Liga,28.0,185,72,33,31,2801,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,0.0,0.02,0.0,0.02,0.02,0.02,31.1,16.0,9,11.0,3.0,2.0,9.0,23.0,39.1,14.0,117.0,41.0,35.0,89.0,23.0,5.0,49.0,30.0,0.0,19.0,24,40,218.0,4.0,6.0,0.19,6.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1520.0,1708.0,89.0,33511.0,10621.0,14.0,29.0,48.3,1014.0,1081.0,93.8,492.0,598.0,82.3,1,0.0,1.0,1.0,82.0,2.0,0.0,62.0,1637.0,71.0,68.0,0.0,217.0,64.0,3,0.0,0.0,0.0,0.0,1276.0,154.0,278.0,187.0,1394.0,69.0,2.0,21.0,5.0,20.0,11.0,14.0,2028.0,397.0,1246.0,869.0,34.0,16.0,1961.0,6.0,7.0,85.7,6.0,0.0,1288.0,7960.0,4184.0,1344.0,1327.0,98.7,4.0,1.0,8,2,25.0,0.26,0.06,0.13,0.5,0.0,0.09,0.3,0.3
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,22.0,179,72,33,31,2673,3,2,0,0,10,0,0.1,0.07,0.17,0.1,0.17,3.0,3.0,2.7,0.1,0.09,0.19,0.1,0.19,29.7,74.0,46,33.0,24.0,17.0,14.0,54.0,25.9,40.0,687.0,184.0,26.8,226.0,297.0,164.0,53.0,5.0,0.0,48.0,25,99,28.0,1.0,97.0,3.27,70.0,1.0,12.0,2.0,12.0,6.0,0.2,5.0,0.0,0.0,0.0,1.0,0.0,922.0,1141.0,80.8,15550.0,4180.0,30.0,69.0,43.5,746.0,856.0,87.1,146.0,216.0,67.6,2,2.7,-0.7,35.0,108.0,30.0,5.0,112.0,1098.0,43.0,18.0,3.0,243.0,34.0,31,7.0,2.0,2.0,2.0,855.0,145.0,141.0,165.0,936.0,17.0,8.0,6.0,4.0,28.0,23.0,41.0,1609.0,45.0,297.0,829.0,660.0,124.0,1573.0,94.0,135.0,69.6,99.0,0.0,1311.0,10921.0,6629.0,1319.0,1112.0,84.3,65.0,72.0,48,11,22.9,1.62,0.37,0.06,0.27,1.0,0.06,0.0,0.0
Gastón Ramírez,URU,MF,Sampdoria,Serie A,28.0,183,78,26,19,1392,7,2,3,3,5,0,0.45,0.13,0.58,0.26,0.39,6.2,3.9,3.1,0.4,0.2,0.6,0.26,0.46,15.5,31.0,20,12.0,12.0,7.0,7.0,44.0,15.9,37.0,378.0,89.0,23.5,93.0,174.0,111.0,25.0,2.0,0.0,23.0,6,37,8.0,0.0,75.0,4.85,34.0,24.0,3.0,2.0,12.0,4.0,0.26,2.0,0.0,0.0,1.0,1.0,0.0,458.0,642.0,71.3,8388.0,2553.0,15.0,25.0,60.0,338.0,409.0,82.6,105.0,208.0,50.5,2,3.1,-1.1,34.0,36.0,23.0,3.0,89.0,532.0,110.0,46.0,3.0,164.0,36.0,33,55.0,29.0,21.0,3.0,323.0,127.0,192.0,546.0,40.0,22.0,6.0,8.0,2.0,11.0,6.0,13.0,883.0,12.0,122.0,406.0,439.0,50.0,782.0,40.0,66.0,60.6,42.0,4.0,570.0,4206.0,2364.0,793.0,599.0,75.5,37.0,39.0,37,16,43.2,2.39,1.03,0.11,0.25,5.0,0.11,0.8,0.1
